GO biological process complete	Homo sapiens - REFLIST (20595)	intersect.genes_uniq.txt (8324)	intersect.genes_uniq.txt (expected)	intersect.genes_uniq.txt (over/under)	intersect.genes_uniq.txt (fold Enrichment)	intersect.genes_uniq.txt (raw P-value)	intersect.genes_uniq.txt (FDR)
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	66.69	-	.10	1.24E-16	2.76E-14
sensory perception of smell (GO:0007608)	468	16	189.15	-	.08	3.26E-49	1.03E-45
complement activation (GO:0006956)	177	6	71.54	-	.08	2.65E-19	7.47E-17
complement activation, classical pathway (GO:0006958)	161	5	65.07	-	.08	5.25E-18	1.30E-15
sensory perception of bitter taste (GO:0050913)	41	1	16.57	-	.06	1.95E-05	8.83E-04
detection of chemical stimulus (GO:0009593)	522	12	210.98	-	.06	9.47E-61	4.99E-57
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	14.55	-	 < 0.01	7.59E-06	3.83E-04
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	16.98	-	 < 0.01	1.03E-06	6.16E-05
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	178.24	-	 < 0.01	3.13E-66	2.48E-62
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	196.43	-	 < 0.01	8.09E-73	1.28E-68
opsonization (GO:0008228)	72	0	29.10	-	 < 0.01	2.92E-11	3.57E-09
