




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (6957)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
complement activation (GO:0006956)	177	7	59.79	-	.12	7.71E-15	1.30E-12
detection of stimulus involved in sensory perception (GO:0050906)	557	22	188.15	-	.12	3.86E-45	7.62E-42
complement activation, classical pathway (GO:0006958)	161	5	54.39	-	.09	9.37E-15	1.56E-12
phagocytosis, recognition (GO:0006910)	106	3	35.81	-	.08	2.51E-10	2.49E-08
sensory perception of chemical stimulus (GO:0007606)	543	14	183.43	-	.08	8.42E-51	2.66E-47
sensory perception of smell (GO:0007608)	468	8	158.09	-	.05	4.37E-48	1.15E-44
detection of chemical stimulus (GO:0009593)	522	8	176.33	-	.05	8.39E-55	4.42E-51
opsonization (GO:0008228)	72	1	24.32	-	.04	3.30E-08	2.67E-06
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	12.16	-	 < 0.01	5.32E-05	2.41E-03
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	0	14.19	-	 < 0.01	7.44E-06	4.31E-04
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	148.97	-	 < 0.01	7.03E-57	5.56E-53
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	164.17	-	 < 0.01	1.36E-62	2.15E-58
